reaction,name,schemaClass,module
R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-HSA-2317314,AKT binds PDPK1,Reaction,Immune System
R-HSA-198640,TORC2 (mTOR) phosphorylates AKT at S473,Reaction,Immune System
R-HSA-2317332,PIP3 recruits AKT to the membrane,Reaction,Immune System
R-HSA-199456,PTEN dephosphorylates PIP3,Reaction,Immune System
R-HSA-168053,Phosphorylated MAPKs phosphorylate ATF-2,Reaction,Immune System
R-HSA-74448,Calcium binds calmodulin,Reaction,Immune System
R-HSA-434798,CRAC translocates calcium from the extracellular region to the cytosol,Reaction,Immune System
R-HSA-434700,STIM1 activation of CRAC,Reaction,Immune System
R-HSA-1168376,STIM1 oligomerizes,Reaction,Immune System
R-HSA-169683,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",Reaction,Immune System
R-HSA-169680,"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",Reaction,Immune System
R-HSA-167686,Active PLCG1 hydrolyses PIP2,Reaction,Immune System
R-HSA-2029272,Release of PLCG from FCGR,Reaction,Immune System
R-HSA-2029268,Phosphorylation and activation of PLCG,Reaction,Immune System
R-HSA-2029270,Recruitment of PLCgamma to membrane,Reaction,Immune System
R-HSA-2029271,PI3K phosphorylates PIP2 to PIP3,Reaction,Immune System
R-HSA-2029273,PI3K binds to p-6Y-SYK,Reaction,Immune System
R-HSA-202407,PLC-gamma1 hydrolyses PIP2,Reaction,Immune System
R-HSA-202354,Translocation of PLC-gamma1 to PIP2,Reaction,Immune System
R-HSA-202248,Phosphorylation of PLC-gamma1,Reaction,Immune System
R-HSA-202375,Recruitment of ITK to SLP-76,Reaction,Immune System
R-HSA-202216,Phosphorylation of SLP-76,Reaction,Immune System
R-HSA-202241,Recruitment of SLP-76 to Gads,Reaction,Immune System
R-HSA-202325,Recruitment of Gads to LAT,Reaction,Immune System
R-HSA-202245,Phosphorylation of TBSMs in LAT,Reaction,Immune System
R-HSA-202174,Activation of ZAP-70,Reaction,Immune System
R-HSA-202168,Phosphorylation of ZAP-70 by Lck,Reaction,Immune System
R-HSA-202344,Recruitment of ZAP-70 to phosphorylated ITAMs,Reaction,Immune System
R-HSA-202165,Phosphorylation of ITAM motifs in CD3 complexes,Reaction,Immune System
