node,name,genome-encoded,schemaClass,reference gene
R-HSA-2317313,p-S-AKT:PDPK1:PIP3 [plasma membrane],False,Complex,None
AKT1,"p-T308,S473-AKT1 [cytosol]",True,EntityWithAccessionedSequence,AKT1
AKT2,"p-T309,S474-AKT2 [cytosol]",True,EntityWithAccessionedSequence,AKT2
AKT3,"p-T305,S472-AKT3 [cytosol]",True,EntityWithAccessionedSequence,AKT3
R-ALL-29370,ADP [cytosol],False,SimpleEntity,None
R-HSA-377179,PDPK1:PIP3 [plasma membrane],False,Complex,None
R-ALL-113592,ATP [cytosol],False,SimpleEntity,None
R-HSA-2317310,p-S-AKT:PIP3 [plasma membrane],False,Complex,None
R-HSA-2317329,AKT:PIP3 [plasma membrane],False,Complex,None
R-HSA-199453,AKT:PIP3:THEM4/TRIB3 [plasma membrane],False,Complex,None
R-ALL-179838,"PI(3,4,5)P3 [plasma membrane]",False,SimpleEntity,None
R-ALL-179856,"PI(4,5)P2 [plasma membrane]",False,SimpleEntity,None
R-ALL-29372,Pi [cytosol],False,SimpleEntity,None
R-ALL-29356,H2O [cytosol],False,SimpleEntity,None
R-ALL-29358,ATP [nucleoplasm],False,SimpleEntity,None
R-ALL-113582,ADP [nucleoplasm],False,SimpleEntity,None
ATF2,"p-T69,T71-ATF2 [nucleoplasm]",True,EntityWithAccessionedSequence,ATF2
CALM1,CALM1 [cytosol],True,EntityWithAccessionedSequence,CALM1
R-HSA-74294,CALM1:4xCa2+ [cytosol],False,Complex,None
R-ALL-74016,Ca2+ [cytosol],False,SimpleEntity,None
R-ALL-74112,Ca2+ [extracellular region],False,SimpleEntity,None
R-HSA-1168370,STIM1 Dimer [endoplasmic reticulum membrane],False,Complex,None
R-HSA-434679,CRAC channel [plasma membrane],False,Complex,None
R-HSA-434696,ORAI1 dimer [plasma membrane],False,Complex,None
R-HSA-8862645,ORAI2 dimer [plasma membrane],False,Complex,None
R-HSA-1168371,STIM1:Calcium [endoplasmic reticulum membrane],False,Complex,None
R-ALL-111875,Ca2+ [endoplasmic reticulum lumen],False,SimpleEntity,None
R-ALL-114520,"I(1,4,5)P3 [cytosol]",False,SimpleEntity,None
R-HSA-5226920,"AHCYL1:NAD+:ITPR1:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane]",False,Complex,None
R-HSA-169696,"ITPR:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane]",False,Complex,None
R-HSA-169686,IP3 receptor homotetramer [endoplasmic reticulum membrane],False,Complex,None
R-ALL-112275,DAGs [plasma membrane],False,SimpleEntity,None
R-HSA-2029156,clustered IgG-Ag:p-FCGRs:p-6Y-SYK:p-3Y-PLCG [plasma membrane],False,Complex,None
PLCG2,"p-Y753,Y759,Y1217-PLCG2 [plasma membrane]",True,EntityWithAccessionedSequence,PLCG2
PLCG1,p-4Y-PLCG1 [plasma membrane],True,EntityWithAccessionedSequence,PLCG1
R-HSA-2029158,clustered IgG-Ag:p-FCGRs:p-6Y-SYK [plasma membrane],False,Complex,None
R-HSA-2029137,clustered IgG-Ag:p-FCGRs:p-6Y-SYK:PLCG [plasma membrane],False,Complex,None
R-HSA-2029149,PI3K:p-6Y-SYK [plasma membrane],False,Complex,None
R-HSA-74693,PI3K [cytosol],False,Complex,None
R-HSA-202269,Activated PLC gamma1 bound to PIP2 [plasma membrane],False,Complex,None
R-HSA-202279,PLCG1:p-3Y-SLP-76:Gads:LAT [plasma membrane],False,Complex,None
R-HSA-202302,phosphorylated PLC-gamma1 bound to SLP-76 [plasma membrane],False,Complex,None
R-HSA-202310,phosphorylated PLC-gamma1 bound to LAT [plasma membrane],False,Complex,None
R-HSA-202240,PLCG1:p-5Y-LAT [plasma membrane],False,Complex,None
CD101,CD101 [plasma membrane],True,EntityWithAccessionedSequence,CD101
ITK,ITK [cytosol],True,EntityWithAccessionedSequence,ITK
R-HSA-202359,"ITK:p-Y113,128,145-SLP-76:GADS:LAT [plasma membrane]",False,Complex,None
R-HSA-202162,"p-Y113,128,145-SLP-76:GADS:LAT [plasma membrane]",False,Complex,None
R-HSA-202151,SLP-76 bound to Gads:LAT [plasma membrane],False,Complex,None
R-HSA-202177,GADS:p-5Y-LAT [plasma membrane],False,Complex,None
LCP2,LCP2 [cytosol],True,EntityWithAccessionedSequence,LCP2
LAT,p-5Y-LAT [plasma membrane],True,EntityWithAccessionedSequence,LAT
GRAP2,GRAP2 [cytosol],True,EntityWithAccessionedSequence,GRAP2
R-HSA-202345,phospho tyrosine ZAP-70 [plasma membrane],False,Complex,None
R-HSA-202181,Activated ZAP-70 [plasma membrane],False,Complex,None
R-HSA-202330,ZAP-70 bound to phosphorylated ITAM motifs [plasma membrane],False,Complex,None
ZAP70,ZAP70 [cytosol],True,EntityWithAccessionedSequence,ZAP70
R-HSA-203494,Antigen-bearing MHC Class II: TCR with phosphorylated ITAMs:CD4 [plasma membrane],False,Complex,None
R-HSA-202266,Antigen-bearing MHC Class II :TCR complex:CD4: Lck phosphorylated at Tyr394 [plasma membrane],False,Complex,None
R-HSA-202157,Antigen-bearing MHC Class II  : TCR complex:CD4:Lck [plasma membrane],False,Complex,None
R-HSA-202154,Antigen-bearing MHC Class II : TCR complex:CD4:p-Lck(Y505) [plasma membrane],False,Complex,None
PAG1,p-Y317-PAG1 [plasma membrane],True,EntityWithAccessionedSequence,PAG1
R-HSA-202297,Csk:p-PAG [plasma membrane],False,Complex,None
CSK,CSK [cytosol],True,EntityWithAccessionedSequence,CSK
TRAT1,"p-Y63,Y79,Y110-TRAT1 [plasma membrane]",True,EntityWithAccessionedSequence,TRAT1
R-HSA-202283,PI3K bound to TRAT [plasma membrane],False,Complex,None
R-HSA-198379,PI3K alpha [cytosol],False,Complex,None
R-HSA-388785,ICOS:PI3K [plasma membrane],False,Complex,None
ICOS,p-Y180-ICOS [plasma membrane],True,EntityWithAccessionedSequence,ICOS
R-HSA-388788,ICOS:ICOSL [plasma membrane],False,Complex,None
C3,C3a [extracellular region],True,EntityWithAccessionedSequence,C3
R-HSA-444688,C3AR1:C3a [plasma membrane],False,Complex,None
C3AR1,C3AR1 [plasma membrane],True,EntityWithAccessionedSequence,C3AR1
R-HSA-166822,Complement factor 3 [extracellular region],False,Complex,None
R-HSA-166832,C3b [extracellular region],False,Complex,None
R-HSA-173752,Cell surface:C3b:Bb:Properdin [plasma membrane],False,Complex,None
R-HSA-174554,C3b:Bb:C3b:Properdin  [plasma membrane],False,Complex,None
R-HSA-173749,Cell surface:C3b:Bb [plasma membrane],False,Complex,None
R-HSA-182548,Properdin oligomer [extracellular region],False,Polymer,None
R-HSA-173737,Cell surface:C3b:CFB [plasma membrane],False,Complex,None
CFB,CFB(26-259) [extracellular region],True,EntityWithAccessionedSequence,CFB
R-HSA-981542,Cell surface:C3b [plasma membrane],False,Complex,None
R-ALL-983438,Cell surface [plasma membrane],False,OtherEntity,None
R-HSA-182529,C3(H2O):CFB [extracellular region],False,Complex,None
R-HSA-182451,C3(H2O):Bb [extracellular region],False,Complex,None
R-HSA-182450,C3(H2O) [extracellular region],False,Complex,None
R-ALL-109276,H2O [extracellular region],False,SimpleEntity,None
C2,C2a [extracellular region],True,EntityWithAccessionedSequence,C2
R-HSA-166784,Cell surface:C4b:C2a [plasma membrane],False,Complex,None
R-HSA-981716,Cell surface:C4b [plasma membrane],False,Complex,None
R-HSA-2855093,FCN3 ligands:FCN3 multimer:MASP1 dimer:MASP2 dimer:4xCa2+ [plasma membrane],False,Complex,None
R-HSA-2855106,Ficolin-1:activated MASP-1:activated MASP-2:Ca2+:ficolin ligand [plasma membrane],False,Complex,None
