Drug,Drop,Gain,Drug Type
omalizumab,-0.11388159494120524,0.24406525400316653,ProteinDrug
HCQ,-0.11596456830759128,1.1514257318690002,ChemicalDrug
natalizumab,-0.12090078017108755,0.8950896362566267,ProteinDrug
acalabrutinib,-0.12828809909533098,2.574696784695105,ChemicalDrug
ibrutinib,-0.1282880990953312,2.5746967846951043,ChemicalDrug
amlexanox,-0.13926574433330022,0.862453217320205,ChemicalDrug
anakinra,-0.14563494138705071,1.0056026660854427,ProteinDrug
isunakinra,-0.14563494138705071,1.0056026660854427,ProteinDrug
delgocitinib,-0.15378256697976772,3.8998923985121206,ChemicalDrug
camrelizumab,-0.20124561454159995,1.5386218501191693,ProteinDrug
cemiplimab,-0.20124561454159995,1.5386218501191693,ProteinDrug
nivolumab,-0.20124561454159995,1.5386218501191693,ProteinDrug
ruxolitinib,-0.21867630506821972,6.449176054017658,ChemicalDrug
tofacitinib,-0.21867630506821972,6.449176054017658,ChemicalDrug
baricitinib,-0.21867630506821972,6.449176054017658,ChemicalDrug
sarilumab,-0.2847818988049325,1.0320877202788916,ProteinDrug
tocilizumab,-0.2847818988049325,1.0320877202788916,ProteinDrug
satralizumab,-0.2847818988049325,1.0320877202788916,ProteinDrug
tacrolimus,-0.5590351032835054,0.7783126603949053,ChemicalDrug
