Protein,Relative Entropy,Drug Type,Drug
Ref,113.46861709589356,None,
,33.919872099957715,ProteinDrug,anakinra
,34.88651093938189,ProteinDrug,tocilizumab
,51.89939124925624,ProteinDrug,nivolumab
,57.4698958067081,ChemicalDrug,amlexanox
,60.94255387410503,ChemicalDrug,tofacitinib
,62.971708690643666,ProteinDrug,camrelizumab
,63.43914543024221,ProteinDrug,isunakinra
,63.624635029586926,ProteinDrug,cemiplimab
,71.18290283638862,ChemicalDrug,delgocitinib
,79.95458971811716,ChemicalDrug,tacrolimus
,82.32723497783242,ProteinDrug,natalizumab
,85.81169542316604,ProteinDrug,satralizumab
,85.97943221098137,ProteinDrug,omalizumab
,86.61174374781666,ChemicalDrug,acalabrutinib
,89.62516401969357,ChemicalDrug,HCQ
,100.04243654601555,ProteinDrug,sarilumab
,105.1240932497528,ChemicalDrug,baricitinib
,121.92077509600702,ChemicalDrug,ibrutinib
,128.47447839612457,ChemicalDrug,ruxolitinib
