Drug,Drop,Gain,Drug Type
tacrolimus,-0.008624490241241334,2.989032631928427,ChemicalDrug
natalizumab,-0.4768296421435008,0.5173037048418219,ProteinDrug
isunakinra,-0.5381191774332964,0.37268028747365967,ProteinDrug
anakinra,-0.5381191774332964,0.37268028747365967,ProteinDrug
nivolumab,-0.8094816904209248,1.046705054034804,ProteinDrug
cemiplimab,-0.8094816904209248,1.046705054034804,ProteinDrug
camrelizumab,-0.8094816904209248,1.046705054034804,ProteinDrug
HCQ,-0.8447778207534329,2.0024503310967536,ChemicalDrug
omalizumab,-0.9522056293049292,4.038885496204216,ProteinDrug
amlexanox,-1.0863731427853982,0.02413087852843199,ChemicalDrug
satralizumab,-1.1898321090363375,0.44649952262166054,ProteinDrug
tocilizumab,-1.1898321090363375,0.44649952262166054,ProteinDrug
sarilumab,-1.1898321090363375,0.44649952262166054,ProteinDrug
acalabrutinib,-2.5984451466529217,0.5317343403798472,ChemicalDrug
ibrutinib,-2.598445146652922,0.5317343403798478,ChemicalDrug
delgocitinib,-3.276164626196901,1.4945537784217529,ChemicalDrug
ruxolitinib,-4.490823935621153,3.8651880000956798,ChemicalDrug
tofacitinib,-4.490823935621153,3.8651880000956806,ChemicalDrug
baricitinib,-4.490823935621153,3.8651880000956806,ChemicalDrug
