Protein,Drop,Gain
ICAM1,-35.61795863870795,17.242826223335896
MUC1,-34.932986645696815,5.958833253734321
VCAM1,-33.180281269279426,14.387642139529873
PTAFR,-32.84197688893065,10.434165025021088
FCGR1A,-32.79086176017142,13.584124995614161
TRIM38,-32.62939970273673,11.34978566781062
SP100,-32.56206493533797,9.254464271606567
TRIM31,-32.56071332464237,9.466178904655443
FCGR1B,-32.55835917755313,13.267722332295348
TRIM29,-32.55459592615542,10.19341267822717
IFI30,-32.5445745588974,8.985997138015016
CD44,-32.544574558897395,8.985997138015037
TRIM34,-32.544574558897395,8.985997138014993
TRIM45,-32.544574558897395,8.985997138015023
TRIM26,-32.54457455889739,8.985997138015032
CIITA,-32.54457455889739,8.98599713801503
TRIM6,-32.54457455889739,8.98599713801502
PML,-32.544574558897374,8.985997138014996
GBP3,-32.544574558897374,8.985997138015014
TRIM46,-32.54457455889737,8.985997138015003
GBP6,-32.54457455889737,8.985997138015014
GBP5,-32.54457455889737,8.985997138015014
GBP7,-32.54457455889737,8.985997138015014
GBP4,-32.54457455889737,8.985997138015014
MT2A,-32.54457455889736,8.98599713801503
TRIM22,-32.54457455889736,8.985997138015016
GBP1,-32.54457455889735,8.985997138015039
TRIM48,-32.54457455889735,8.98599713801501
NCAM1,-32.544574558897345,8.985997138015017
TRIM68,-32.50574253725254,9.246669129219722
TRIM10,-32.50574253725252,9.24666912921967
TRIM5,-32.49554379442307,9.423907480923068
CANX,-32.49275769224563,15.052423893415058
TRIM17,-32.479333411332824,9.450918291150757
TRIM2,-32.47699982235129,9.634104723834895
TRIM35,-32.465429721404945,9.618051780611514
TRIM3,-32.36128526788129,9.816075966558843
TRIM62,-32.33352712570193,10.00824052743614
TRIM14,-32.33081692337268,10.261070098131219
IFITM3,-32.299497839757485,2.3787798134957905
TRIM8,-32.262608889458555,10.134808253903591
GBP2,-32.18915689611063,16.297664257597642
IRF2,-32.18915689611062,16.297664257597592
IRF8,-32.18915689611062,16.297664257597592
IRF1,-32.18915689611062,16.297664257597592
HLA-G,-32.18915689611062,16.29766425759762
IRF6,-32.18915689611062,16.297664257597596
HLA-F,-32.18915689611061,16.297664257597617
HLA-H,-32.18915689611061,16.297664257597614
IRF5,-32.1891568961106,16.2976642575976
HLA-A,-32.1891568961106,16.297664257597624
HLA-C,-32.1891568961106,16.297664257597617
HLA-B,-32.1891568961106,16.297664257597617
HLA-E,-32.1891568961106,16.297664257597617
OAS1,-32.14491252008588,17.867237859150634
MID1,-32.123693400044885,13.909878327328409
OAS3,-32.11175547715733,17.3820186537426
B2M,-32.10613018935576,17.61031506281431
IRF9,-32.08906188648274,17.013319531577977
TRIM21,-32.04633777885117,11.641507914910818
OAS2,-32.022572766531624,19.25734472837178
OASL,-32.006632460725605,16.8878354641
MX1,-31.46360198944687,2.9523101818877486
MX2,-31.18004775575969,2.8215333488550205
IFIT1,-31.180047755759684,2.8215333488550254
IRF7,-31.08325794936482,20.714566567187163
XAF1,-30.88791393632719,2.6734777704987582
STAT1,-30.816208926736415,10.383582812975003
ISG15,-30.713530851653665,5.40590895999224
HLA-DRB1,-30.469175003994728,26.74601961169146
HLA-DQB2,-30.469175003994728,26.74601961169146
HLA-DQA1,-30.469175003994728,26.746019611691455
HLA-DRA,-30.469175003994728,26.746019611691455
HLA-DRB3,-30.469175003994728,26.746019611691455
HLA-DQB1,-30.469175003994728,26.74601961169146
HLA-DRB5,-30.46917500399472,26.746019611691455
HLA-DRB4,-30.46917500399472,26.746019611691455
HLA-DQA2,-30.46917500399472,26.746019611691455
HLA-DPA1,-30.46917500399472,26.746019611691455
HLA-DPB1,-30.46917500399472,26.746019611691455
IRF4,-30.205288712420504,20.147047585442273
TRIM25,-30.199444361391024,14.715879862476317
PSMB8,-30.052016781334082,1.7780593330523664
IRF3,-29.9514655509441,24.262528299221746
STAT3,-29.793856603826384,10.574908182532338
RNASEL,-29.705344867780408,5.522227814047635
IFIT2,-29.705343616178816,1.661827824953666
IFI27,-29.705343616178816,1.661827824953662
RSAD2,-29.705343616178816,1.6618278249536653
IP6K2,-29.705343616178816,1.6618278249536655
EGR1,-29.705343616178816,1.6618278249536653
IFI6,-29.705343616178816,1.6618278249536653
IFITM2,-29.705343616178816,1.6618278249536653
SAMHD1,-29.705343616178816,1.6618278249536653
BST2,-29.705343616178816,1.6618278249536653
IFIT3,-29.705343616178812,1.6618278249536649
ADAR,-29.705343616178812,1.6618278249536647
IFI35,-29.705343616178812,1.6618278249536653
IFITM1,-29.705343616178812,1.6618278249536653
IFIT5,-29.705343616178812,1.6618278249536658
ISG20,-29.705343616178805,1.6618278249536664
UBE2L6,-28.67909626979554,0.24411478035330392
LNX1,-28.396758901848095,2.5958397072336075
STAT5B,-27.843125523384295,3.335439985292915
UBA7,-27.171754409296994,0.6030730014906523
STAT5A,-27.170162286058826,2.8610598917679795
HERC5,-26.092221385244958,0.059607773807994924
UBA3,-25.423094401548074,0.2706491438194299
TRAF2,-24.914931517412736,4.593076954430268
UBA6,-24.725654248234992,0.14017776131425919
UBA1,-24.725654248234992,0.14017776131425866
ATG7,-24.72565424823498,0.14017776131425966
UBA5,-24.72431805812222,2.112144987442168
ARIH1,-24.26476987565376,0.03923753404002993
JAK1,-23.971631483646036,9.822879335326089
UBB,-23.758793459561034,3.621100990285161
DDX58,-23.483695134627162,3.2231734927697104
UBE2D1,-23.47622393034324,0.13542248026118478
UBC,-23.414898422818382,3.582520219720503
SDCBP,-23.282054976334173,3.687418195312882
CFI,-22.390984906534946,0.00033955609474762216
AKT1,-22.369958738904234,0.2439037196698837
UBE2K,-22.12731278490974,0.060017376506113045
RPS27A,-21.870670056456525,3.0294270529528156
UBA52,-21.87067005645651,3.029427052952816
CFHR3,-21.58122573056344,0.0004567614700627297
UBE2D4,-21.495872961010058,0.11191220194591624
CR2,-20.87272896998138,0.0002676252849884889
PLCG1,-20.812877708783535,0.6614732963002119
CD55,-20.634041890551753,0.0005591965380577597
RNF4,-20.593637703326134,5.955778376613831
C5,-20.455189692892464,3.1282685746102223
C5AR2,-20.376920022221846,0.0002469116961295835
STAT6,-20.33474141982551,2.381549590597692
SOCS3,-20.213483807472695,0.8657436807735497
JAK2,-20.202739467739665,10.07756850028187
PROS1,-19.98938798416556,0.005577133578695966
UBE2E1,-19.741575340008033,0.024514809898230256
GRB2,-19.701607079380985,6.306481068738077
C3AR1,-19.535626860228064,0.00022542483683862734
TRAF6,-19.26815259111285,9.29988529659769
UBE2D2,-18.903725392053616,0.006771180924506688
UBE2N,-18.47677952994959,0.022101373893512584
TRIM39,-18.367754357521747,0.00712830667445043
YES1,-18.28124635863789,0.5401441433023938
EBI3,-18.26329484857196,0.6561713910361701
TNFRSF1B,-17.989112616077687,2.472810796425821
CD53,-17.47600101684751,0.14613062766621188
UBE2E2,-17.406081479461168,0.001033003188796348
UBE2D3,-17.28394868685521,0.014993052584374202
HSPA5,-17.238210152205966,0.5545613479351555
TRIM32,-16.830695355977415,0.13009752850810974
