SARS-CoV-2 protein,Entropy (bits),Steps
SARS-CoV2 Nsp1,0.0,0.0
SARS-CoV2 Nsp2,1.486648211898746,13550.0
SARS-CoV2 Nsp3,0.0,0.0
SARS-CoV2 Nsp4,0.0,0.0
SARS-CoV2 Nsp5,0.0,0.0
SARS-CoV2 Nsp5_C145A,0.0,0.0
SARS-CoV2 Nsp6,0.0,0.0
SARS-CoV2 Nsp7,3.2556617563354036,13551.0
SARS-CoV2 Nsp8,0.4212144737775135,13552.0
SARS-CoV2 Nsp9,0.0,0.0
SARS-CoV2 Nsp10,0.0,13549.0
SARS-CoV2 Nsp11,0.0,0.0
SARS-CoV2 Nsp12,2.85628405589988,13557.0
SARS-CoV2 Nsp13,5.0351896915953445,13560.0
SARS-CoV2 Nsp14,2.741363691022713,13552.0
SARS-CoV2 Nsp15,0.4212144737775147,13552.0
SARS-CoV2 Spike,0.0,13549.0
SARS-CoV2 ORF3a,0.2062242854947534,13548.0
SARS-CoV2 ORF3b,0.0,0.0
SARS-CoV2 E,0.0,13549.0
SARS-CoV2 M,27.162700118773287,13547.0
SARS-CoV2 ORF6,0.0,0.0
SARS-CoV2 ORF7a,0.0,0.0
SARS-CoV2 ORF8,8.205739427557958,13553.0
SARS-CoV2 ORF9b,0.5397370204357778,13549.0
SARS-CoV2 ORF9c,1.4287619377323513,13552.0
SARS-CoV2 N,0.0,13549.0
SARS-CoV2 ORF10,4.685598727952414,13553.0
