SARS-CoV-2 protein,Entropy (bits),Steps
SARS-CoV2 Nsp1,0.0,0.0
SARS-CoV2 Nsp2,0.6234624802820756,4679.0
SARS-CoV2 Nsp3,0.0,0.0
SARS-CoV2 Nsp4,0.0,0.0
SARS-CoV2 Nsp5,0.0,0.0
SARS-CoV2 Nsp5_C145A,0.0,0.0
SARS-CoV2 Nsp6,0.0,0.0
SARS-CoV2 Nsp7,0.8019458397588539,4679.0
SARS-CoV2 Nsp8,0.150676919602497,4676.0
SARS-CoV2 Nsp9,0.0,0.0
SARS-CoV2 Nsp10,0.0,4685.0
SARS-CoV2 Nsp11,0.0,0.0
SARS-CoV2 Nsp12,1.617160666892282,4670.0
SARS-CoV2 Nsp13,2.9841162343873675,4665.0
SARS-CoV2 Nsp14,1.2805971265161389,4675.0
SARS-CoV2 Nsp15,0.15067691960249519,4676.0
SARS-CoV2 Spike,0.0,4685.0
SARS-CoV2 ORF3a,0.11742687151728212,4673.0
SARS-CoV2 ORF3b,0.0,0.0
SARS-CoV2 E,0.0,4685.0
SARS-CoV2 M,8.777350725941409,4667.0
SARS-CoV2 ORF6,0.0,0.0
SARS-CoV2 ORF7a,0.0,0.0
SARS-CoV2 ORF8,4.086920802759796,4652.0
SARS-CoV2 ORF9b,0.2562898696694497,4683.0
SARS-CoV2 ORF9c,0.3146564772652344,4682.0
SARS-CoV2 N,0.0,4685.0
SARS-CoV2 ORF10,0.015180175465617387,4685.0
