SARS-CoV-2 protein,Entropy (bits),Steps
SARS-CoV2 Nsp1,0.0,0.0
SARS-CoV2 Nsp2,0.6234693959647541,13543.0
SARS-CoV2 Nsp3,0.0,0.0
SARS-CoV2 Nsp4,0.0,0.0
SARS-CoV2 Nsp5,0.0,0.0
SARS-CoV2 Nsp5_C145A,0.0,0.0
SARS-CoV2 Nsp6,0.0,0.0
SARS-CoV2 Nsp7,0.8019587591897215,13542.0
SARS-CoV2 Nsp8,0.15067751430045054,13538.0
SARS-CoV2 Nsp9,0.0,0.0
SARS-CoV2 Nsp10,0.0,13549.0
SARS-CoV2 Nsp11,0.0,0.0
SARS-CoV2 Nsp12,1.6171661362966492,13532.0
SARS-CoV2 Nsp13,2.984120293816868,13527.0
SARS-CoV2 Nsp14,1.2806081336488488,13537.0
SARS-CoV2 Nsp15,0.15067751430045073,13538.0
SARS-CoV2 Spike,0.0,13549.0
SARS-CoV2 ORF3a,0.11742784481204421,13533.0
SARS-CoV2 ORF3b,0.0,0.0
SARS-CoV2 E,0.0,13549.0
SARS-CoV2 M,8.777553899348662,13529.0
SARS-CoV2 ORF6,0.0,0.0
SARS-CoV2 ORF7a,0.0,0.0
SARS-CoV2 ORF8,4.0869879957854325,13511.0
SARS-CoV2 ORF9b,0.25629247093918994,13547.0
SARS-CoV2 ORF9c,0.31465939483027117,13546.0
SARS-CoV2 N,0.0,13549.0
SARS-CoV2 ORF10,0.015180268380956628,13549.0
