SARS-CoV-2 protein,Entropy (bits),Steps
SARS-CoV2 Nsp1,0.0,0.0
SARS-CoV2 Nsp2,0.9731822091068436,10357.0
SARS-CoV2 Nsp3,0.0,0.0
SARS-CoV2 Nsp4,0.0,0.0
SARS-CoV2 Nsp5,0.0,0.0
SARS-CoV2 Nsp5_C145A,0.0,0.0
SARS-CoV2 Nsp6,0.0,0.0
SARS-CoV2 Nsp7,1.7346671403034322,10363.0
SARS-CoV2 Nsp8,0.25241329282050823,10653.0
SARS-CoV2 Nsp9,0.0,0.0
SARS-CoV2 Nsp10,0.0,1.0
SARS-CoV2 Nsp11,0.0,0.0
SARS-CoV2 Nsp12,2.098864227320285,11011.0
SARS-CoV2 Nsp13,3.7888648598542605,11207.0
SARS-CoV2 Nsp14,1.906547175398828,10747.0
SARS-CoV2 Nsp15,0.25241329281916586,10652.0
SARS-CoV2 Spike,0.0,1.0
SARS-CoV2 ORF3a,0.1520302952543804,10689.0
SARS-CoV2 ORF3b,0.0,0.0
SARS-CoV2 E,0.0,1.0
SARS-CoV2 M,16.214544815813813,10828.0
SARS-CoV2 ORF6,0.0,0.0
SARS-CoV2 ORF7a,0.0,0.0
SARS-CoV2 ORF8,5.985299892619276,11362.0
SARS-CoV2 ORF9b,0.3740899105009717,9693.0
SARS-CoV2 ORF9c,0.6625245118489683,10230.0
SARS-CoV2 N,0.0,1.0
SARS-CoV2 ORF10,0.624888746367517,9919.0
