node_ids,node_index,SARS-CoV2 Nsp14,SARS-CoV2 M,SARS-CoV2 ORF8
C3,70,0.0,0.15076846059768792,0.0
C3AR1,72,0.0,0.15076846059764226,0.0
CFB,80,0.0,0.16710124832402312,0.0
C2,87,0.0,0.1747938055244499,0.0
C4B,114,0.0,0.1627702918208569,0.0
C4A,115,0.0,0.1627702918208569,0.0
C5,121,0.0,0.11411232782300414,0.0
C5AR1,123,0.0,0.1141123278229695,0.0
IL1F10,811,0.25912499809534045,0.0,0.0
IL1RAPL1,819,0.2591249980953381,0.0,0.0
CD47,1641,0.0,0.0,0.269534710282717
CD55,1669,0.0,0.16918968140747284,0.0
CR1,1671,0.0,0.16321535423770514,0.0
IMPDH1,1704,0.2119249095184172,0.0,0.0
CYB5R3,1728,0.0,0.21595334585638937,0.0
HMOX2,1742,0.0,1.0,0.0
CFI,2134,0.0,0.15998335091507956,0.0
CFH,2136,0.0,0.16146188681619653,0.0
CFHR3,2143,0.0,0.1628234958693285,0.0
CD46,2149,0.0,0.16269024699179696,0.0
CR2,2157,0.0,0.15433608062506454,0.0
C5AR2,2182,0.0,0.13173763406926928,0.0
PROS1,2203,0.0,0.1631339260452121,0.0
CD226,2879,0.0,0.0,0.2940640751783686
CD96,2898,0.0,0.0,1.0
