input,output,reaction,name,schemaClass,module
R-HSA-2317313,AKT1,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-HSA-2317313,AKT2,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-HSA-2317313,AKT3,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-HSA-2317313,R-ALL-29370,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-HSA-2317313,R-HSA-377179,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-ALL-113592,AKT1,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-ALL-113592,AKT2,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-ALL-113592,AKT3,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-ALL-113592,R-ALL-29370,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-ALL-113592,R-HSA-377179,R-HSA-198270,PDPK1 phosphorylates AKT at T308,Reaction,Immune System
R-HSA-377179,R-HSA-2317313,R-HSA-2317314,AKT binds PDPK1,Reaction,Immune System
R-HSA-2317310,R-HSA-2317313,R-HSA-2317314,AKT binds PDPK1,Reaction,Immune System
R-ALL-113592,R-HSA-2317310,R-HSA-198640,TORC2 (mTOR) phosphorylates AKT at S473,Reaction,Immune System
R-HSA-2317329,R-HSA-2317310,R-HSA-198640,TORC2 (mTOR) phosphorylates AKT at S473,Reaction,Immune System
R-HSA-2317329,R-ALL-29370,R-HSA-198640,TORC2 (mTOR) phosphorylates AKT at S473,Reaction,Immune System
R-HSA-199453,R-HSA-2317310,R-HSA-199457,Negative regulation by 'AKT:PIP3:THEM4/TRIB3 [plasma membrane]',NegativeRegulation,Immune System
R-HSA-199453,R-ALL-29370,R-HSA-199457,Negative regulation by 'AKT:PIP3:THEM4/TRIB3 [plasma membrane]',NegativeRegulation,Immune System
R-ALL-179838,R-HSA-2317329,R-HSA-2317332,PIP3 recruits AKT to the membrane,Reaction,Immune System
AKT1,R-HSA-2317329,R-HSA-2317332,PIP3 recruits AKT to the membrane,Reaction,Immune System
AKT3,R-HSA-2317329,R-HSA-2317332,PIP3 recruits AKT to the membrane,Reaction,Immune System
AKT2,R-HSA-2317329,R-HSA-2317332,PIP3 recruits AKT to the membrane,Reaction,Immune System
R-ALL-179838,R-ALL-179856,R-HSA-199456,PTEN dephosphorylates PIP3,Reaction,Immune System
R-ALL-179838,R-ALL-29372,R-HSA-199456,PTEN dephosphorylates PIP3,Reaction,Immune System
R-ALL-29356,R-ALL-179856,R-HSA-199456,PTEN dephosphorylates PIP3,Reaction,Immune System
R-ALL-29356,R-ALL-29372,R-HSA-199456,PTEN dephosphorylates PIP3,Reaction,Immune System
R-ALL-29358,R-ALL-113582,R-HSA-168053,Phosphorylated MAPKs phosphorylate ATF-2,Reaction,Immune System
R-ALL-29358,ATF2,R-HSA-168053,Phosphorylated MAPKs phosphorylate ATF-2,Reaction,Immune System
ATF2,R-ALL-113582,R-HSA-168053,Phosphorylated MAPKs phosphorylate ATF-2,Reaction,Immune System
ATF2,ATF2,R-HSA-168053,Phosphorylated MAPKs phosphorylate ATF-2,Reaction,Immune System
CALM1,R-HSA-74294,R-HSA-74448,Calcium binds calmodulin,Reaction,Immune System
R-ALL-74016,R-HSA-74294,R-HSA-74448,Calcium binds calmodulin,Reaction,Immune System
R-ALL-74112,R-ALL-74016,R-HSA-434798,CRAC translocates calcium from the extracellular region to the cytosol,Reaction,Immune System
R-HSA-1168370,R-HSA-434679,R-HSA-434700,STIM1 activation of CRAC,Reaction,Immune System
R-HSA-434696,R-HSA-434679,R-HSA-434700,STIM1 activation of CRAC,Reaction,Immune System
R-HSA-8862645,R-HSA-434679,R-HSA-434700,STIM1 activation of CRAC,Reaction,Immune System
R-HSA-1168371,R-HSA-1168370,R-HSA-1168376,STIM1 oligomerizes,Reaction,Immune System
R-HSA-1168371,R-ALL-74016,R-HSA-1168376,STIM1 oligomerizes,Reaction,Immune System
R-ALL-111875,R-ALL-74016,R-HSA-169683,"IP3R:I(1,4,5)P3 tetramer transports Ca2+ from ER lumen to cytosol",Reaction,Immune System
R-ALL-114520,R-ALL-74016,R-HSA-111886,"Positive regulation by 'I(1,4,5)P3 [cytosol]'",PositiveRegulation,Immune System
R-HSA-5226920,R-ALL-74016,R-HSA-5674039,"Negative regulation by 'AHCYL1:NAD+:ITPR1:I(1,4,5)P3 tetramer [endoplasmic reticulum membrane]'",NegativeRegulation,Immune System
R-ALL-114520,R-HSA-169696,R-HSA-169680,"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",Reaction,Immune System
R-HSA-169686,R-HSA-169696,R-HSA-169680,"IP3 binds to the IP3 receptor, opening the endoplasmic reticulum Ca2+ channel",Reaction,Immune System
R-ALL-29356,R-ALL-114520,R-HSA-167686,Active PLCG1 hydrolyses PIP2,Reaction,Immune System
R-ALL-29356,R-ALL-112275,R-HSA-167686,Active PLCG1 hydrolyses PIP2,Reaction,Immune System
R-ALL-179856,R-ALL-114520,R-HSA-167686,Active PLCG1 hydrolyses PIP2,Reaction,Immune System
R-ALL-179856,R-ALL-112275,R-HSA-167686,Active PLCG1 hydrolyses PIP2,Reaction,Immune System
R-HSA-2029156,R-ALL-179838,R-HSA-2029272,Release of PLCG from FCGR,Reaction,Immune System
R-HSA-2029156,PLCG2,R-HSA-2029272,Release of PLCG from FCGR,Reaction,Immune System
R-HSA-2029156,PLCG1,R-HSA-2029272,Release of PLCG from FCGR,Reaction,Immune System
R-HSA-2029156,R-HSA-2029158,R-HSA-2029272,Release of PLCG from FCGR,Reaction,Immune System
R-HSA-2029137,R-HSA-2029156,R-HSA-2029268,Phosphorylation and activation of PLCG,Reaction,Immune System
R-HSA-2029137,R-ALL-29370,R-HSA-2029268,Phosphorylation and activation of PLCG,Reaction,Immune System
R-ALL-179838,R-HSA-2029156,R-HSA-2029268,Phosphorylation and activation of PLCG,Reaction,Immune System
R-ALL-179838,R-ALL-29370,R-HSA-2029268,Phosphorylation and activation of PLCG,Reaction,Immune System
R-ALL-113592,R-HSA-2029156,R-HSA-2029268,Phosphorylation and activation of PLCG,Reaction,Immune System
R-HSA-2029158,R-HSA-2029137,R-HSA-2029270,Recruitment of PLCgamma to membrane,Reaction,Immune System
PLCG2,R-HSA-2029137,R-HSA-2029270,Recruitment of PLCgamma to membrane,Reaction,Immune System
PLCG1,R-HSA-2029137,R-HSA-2029270,Recruitment of PLCgamma to membrane,Reaction,Immune System
R-ALL-113592,R-ALL-179838,R-HSA-2029271,PI3K phosphorylates PIP2 to PIP3,Reaction,Immune System
R-ALL-179856,R-ALL-179838,R-HSA-2029271,PI3K phosphorylates PIP2 to PIP3,Reaction,Immune System
R-ALL-179856,R-ALL-29370,R-HSA-2029271,PI3K phosphorylates PIP2 to PIP3,Reaction,Immune System
R-HSA-2029158,R-HSA-2029149,R-HSA-2029273,PI3K binds to p-6Y-SYK,Reaction,Immune System
R-HSA-74693,R-HSA-2029149,R-HSA-2029273,PI3K binds to p-6Y-SYK,Reaction,Immune System
PLCG1,R-HSA-202269,R-HSA-202354,Translocation of PLC-gamma1 to PIP2,Reaction,Immune System
