time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-21 00:00:00+00:00,0,0,3,1
2022-11-22 00:00:00+00:00,1,1,3,1
2022-11-24 00:00:00+00:00,1,1,0,0
2022-11-25 00:00:00+00:00,1,1,6,1
2022-11-26 00:00:00+00:00,1,1,0,0
2022-11-27 00:00:00+00:00,1,1,7,1
2022-11-28 00:00:00+00:00,1,1,4,2
2022-11-29 00:00:00+00:00,0,0,8,2
2022-11-30 00:00:00+00:00,1,1,4,1
2022-12-01 00:00:00+00:00,1,1,4,1
2022-12-02 00:00:00+00:00,1,1,0,0
2022-12-03 00:00:00+00:00,1,1,5,1
2022-12-05 00:00:00+00:00,40,22,61,1
2022-12-06 00:00:00+00:00,6,4,31,1
2022-12-07 00:00:00+00:00,5,4,17,2
2022-12-08 00:00:00+00:00,1,1,6,1
